make,line,style,model,year,edition,power_engine,power_displacement,power_bore_x_stroke,power_compression_ratio,power_maximum_horsepower,power_maximum_torque,power_fuel_system,power_ignition,power_transmission,power_final_drive,power_electronic_rider_aids,performance_front_suspension__wheel_travel,performance_rear_suspension__wheel_travel,performance_front_tire,performance_rear_tire,performance_front_brakes,performance_rear_brakes,details_frame_type,details_raketrail,details_overall_length,details_overall_width,details_overall_height,details_ground_clearance,details_seat_height,details_dry_weight,details_curb_weight,details_fuel_capacity,details_wheelbase,details_special_features,details_color_choices
Kawasaki,ninja,supersport,ninja-zx-4r,2025,ninja-zx-4r,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",399cc,57.0 x 39.1mm,12.3:1,"56.0 hp¹ @ 11,500 rpm","26.5 lb-ft @ 11,000 rpm",DFI® with 34mm throttle valves (4),TCBI with Digital Advance,"6-speed, return shift",Chain,"Economical Riding Indicator, Kawasaki TRaction Control (KTRC) (3-mode), Power Modes, Anti-lock Brake System (ABS)",37mm inverted Showa fork with SFF-BP internals/4.7 in,"Horizontal back-link, Showa shock w/ adjustable spring preload/4.4 in",110/70-17,160/60-17,Dual 290mm semi-floating discs with radial-mount 4-piston monobloc caliper and ABS,Single 220mm disc with single-piston caliper and ABS,"Trellis, high-tensile steel",23.5°/3.8 in,78.3 in,30.1 in,43.7 in,5.3 in,31.5 in,,414.5 lb*,4.0 gal,54.3 in,"4.3"" Full-color TFT Instrumentation, Smartphone Connectivity via RIDEOLOGY THE APP",Metallic Spark Black
Kawasaki,ninja,supersport,ninja-zx-4r,2025,ninja-zx-4rr-abs,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",399cc,57.0 x 39.1mm,12.3:1,"56.0 hp¹ @ 11,500 rpm","26.5 lb-ft @ 11,000 rpm",DFI® with 34mm throttle valves (4),TCBI with Digital Advance,"6-speed, return shift",Chain,"Economical Riding Indicator, Kawasaki TRaction Control (KTRC) (3-mode), Kawasaki Quick Shifter (KQS) (dual direction), Power Modes, Anti-lock Brake System (ABS)",37mm inverted Showa fork with SFF-BP internals and spring preload adjustability/4.7 in,"Horizontal back-link, Showa BFRC lite gas-charged shock w/ piggyback reservoir, adjustable compression, rebound and spring preload/4.9 in",110/70-17,160/60-17,Dual 290mm semi-floating discs with radial-mount 4-piston monobloc caliper and ABS,Single 220mm disc with single-piston caliper and ABS,"Trellis, high-tensile steel",23.5°/3.8 in,78.3 in,30.1 in,43.7 in,5.3 in,31.5 in,,414.5 lb*,4.0 gal,54.3 in,"4.3"" Full-color TFT Instrumentation, Smartphone Connectivity via RIDEOLOGY THE APP",Metallic Matte Whitish Silver/Metallic Flat Spark Black
Kawasaki,ninja,supersport,ninja-zx-4r,2025,ninja-zx-4rr-krt-edition-abs,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",399cc,57.0 x 39.1mm,12.3:1,"56.0 hp¹ @ 11,500 rpm","26.5 lb-ft @ 11,000 rpm",DFI® with 34mm throttle valves (4),TCBI with Digital Advance,"6-speed, return shift",Chain,"Economical Riding Indicator, Kawasaki TRaction Control (KTRC) (3-mode), Kawasaki Quick Shifter (KQS) (dual direction), Power Modes, Anti-lock Brake System (ABS)",37mm inverted Showa fork with SFF-BP internals and spring preload adjustability/4.7 in,"Horizontal back-link, Showa BFRC lite gas-charged shock w/ piggyback reservoir, adjustable compression, rebound and spring preload/4.9 in",110/70-17,160/60-17,Dual 290mm semi-floating discs with radial-mount 4-piston monobloc caliper and ABS,Single 220mm disc with single-piston caliper and ABS,"Trellis, high-tensile steel",23.5°/3.8 in,78.3 in,30.1 in,43.7 in,5.3 in,31.5 in,,414.5 lb*,4.0 gal,54.3 in,"4.3"" Full-color TFT Instrumentation, Smartphone Connectivity via RIDEOLOGY THE APP",Lime Green/Ebony/Pearl Blizzard White
Kawasaki,ninja,supersport,ninja-zx-4r,2024,ninja-zx-4rr-40th-Anniversary-Edition-ABS,"4-stroke, In-Line Four, OHC, 16-valve, liquid-cooled",399cc,57.0 x 39.1mm,12.3:1,,,DFI® with 34mm throttle valves (4),Digital,"6-speed, manual, return shift",Chain,"Kawasaki TRaction Control (KTRC) (3-mode), Kawasaki Quick Shifter (KQS) (dual direction), Economical Riding Indicator, Power Modes, Anti-lock Brake System (ABS)",37mm inverted fork with SFF-BP internals and spring preload adjustability/4.7 in,"Horizontal Back-link, BFRC lite gas charged shock w/ piggyback reservoir, adjustable compression, rebound and spring preload/4.9 in",110/70 - 17,160/60-17,"Dual 290mm discs, ABS","Single 220mm disc, ABS","Trellis, high-tensile steel",23.5°/3.8 in,78.3 in,30.1 in,43.7 in,5.3 in,31.5 in,,414.5 lb*,4.0 gal,54.3 in,"4.3"" Full-Color TFT Instrumentation, Smartphone Connectivity via RIDEOLOGY THE APP",Lime Green/Pearl Crystal White/Blue
Kawasaki,ninja,supersport,ninja-zx-6r,2025,ninja-zx-6r,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",636cc,67.0 x 45.1mm,12.9:1,"127.0 hp¹ @ 13,000 rpm","52.1 lb-ft @ 10,800 rpm",DFI® with 38mm Keihin throttle bodies (4) and oval sub-throttles,TCBI with electronic advance,"6-speed, return shift",Sealed chain,"Kawasaki Traction Control (KTRC), Power Modes (Full/Low), Kawasaki Intelligent anti-lock Brake System (KIBS) (ABS only), Kawasaki Quick Shifter (KQS) (upshift only)","41mm inverted fork Showa Separate Function Big Piston Fork (SFF-BP) with rebound and compression damping and spring preload adjustability, and top-out springs/4.7 in","Bottom-link Uni-Trak® with single shock, stepless compression damping adjustment, stepless adjustable rebound damping, fully adjustable spring preload/5.9 in",120/70 ZR17,180/55 ZR17,"Dual semi-floating 310mm discs with dual radial-mounted, monobloc, opposed 4-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS) (ABS only)","Single 220mm petal discs with single-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS) (ABS only)",Aluminum perimeter,23.5°/4.0 in,79.7 in,28.0 in,43.3 in,5.1 in,32.7 in,,"436.6 lb* (ABS), 432.2 lb* (non-ABS) 50-State Model, 434.4 lb* (ABS), 430.0 lb* (non-ABS) 49-State Model",4.5 gal,55.1 in,"4.3"" Full-Color TFT Instrumentation, Smartphone Connectivity via RIDEOLOGY THE APP","Pearl Robotic White/Metallic Graphite Gray, Metallic Matte Dark Gray/Ebony"
Kawasaki,ninja,supersport,ninja-zx-6r,2025,ninja-zx-6r-krt-edition,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",636cc,67.0 x 45.1mm,12.9:1,"127.0 hp¹ @ 13,000 rpm","52.1 lb-ft @ 10,800 rpm",DFI® with 38mm Keihin throttle bodies (4) and oval sub-throttles,TCBI with electronic advance,"6-speed, return shift",Sealed chain,"Kawasaki Traction Control (KTRC), Power Modes (Full/Low), Kawasaki Intelligent anti-lock Brake System (KIBS) (ABS only), Kawasaki Quick Shifter (KQS) (upshift only)","41mm inverted fork Showa Separate Function Big Piston Fork (SFF-BP) with rebound and compression damping and spring preload adjustability, and top-out springs/4.7 in","Bottom-link Uni-Trak® with single shock, stepless compression damping adjustment, stepless adjustable rebound damping, fully adjustable spring preload/5.9 in",120/70 ZR17,180/55 ZR17,"Dual semi-floating 310mm discs with dual radial-mounted, monobloc, opposed 4-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS) (ABS only)","Single 220mm petal discs with single-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS) (ABS only)",Aluminum perimeter,23.5°/4.0 in,79.7 in,28.0 in,43.3 in,5.1 in,32.7 in,,"436.6 lb* (ABS), 432.2 lb* (non-ABS) 50-State Model, 434.4 lb* (ABS), 430.0 lb* (non-ABS) 49-State Model",4.5 gal,55.1 in,"4.3"" Full-Color TFT Instrumentation, Smartphone Connectivity via RIDEOLOGY THE APP",Lime Green/Ebony/Pearl Blizzard White
Kawasaki,ninja,supersport,ninja-zx-6r,2024,ninja-zx-6r-40th-Anniversary-Edition-ABS,"4-stroke, In-Line Four, DOHC, 16-valve, liquid-cooled",636cc,67.0 x 45.1mm,12.9:1,,,DFI® with 38mm Keihin throttle bodies (4) and oval sub-throttles,TCBI with Electronic Advance,"6-speed, return shift",Sealed chain,"Kawasaki TRaction Control (KTRC), Power Modes (Full/Low), Kawasaki Intelligent anti-lock Brake System (KIBS), Kawasaki Quick Shifter (KQS) (upshift only)","41mm inverted fork (SFF-BP) with rebound and compression damping and spring preload adjustability, and top-out springs /4.7 in","Bottom-link Uni-Trak® with gas-charged shock, stepless compression damping adjustment, stepless adjustable rebound damping, fully adjustable spring preload/5.9 in",120/70 ZR17,180/55 ZR17,"Dual semi-floating 310mm discs with dual radial-mounted, monobloc, opposed 4-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS)","Single 220mm petal discs with single-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS)",Aluminum perimeter,23.5°/4.0 in,79.7 in,28.0 in,43.3 in,5.1 in,32.7 in,,"434.4 lb* 49-State Model, 436.6 lb* 50-State Model",4.5 gal,55.1 in,"4.3"" Full-Color TFT Instrumentation, Smartphone Connectivity via RIDEOLOGY THE APP",Lime Green/Pearl Crystal White/Blue
Kawasaki,ninja,supersport,ninja-zx-10r,2025,ninja-zx-10r,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",998cc,76.0 x 55.0mm,13.0:1,"196.0 hp¹ @ 11,500 rpm","83.9 lb-ft @ 11,300 rpm","DFI®, 47mm throttle bodies",TCBI with electronic advance,6-speed,Sealed chain,"Öhlins Electronic Steering Damper, Electronic Cruise Control, Kawasaki Launch Control Mode (KLCM), Kawasaki Intelligent anti-lock Brake System (KIBS) (ABS only), Sport-Kawasaki TRaction Control (S-KTRC), Kawasaki Engine Braking Control, Kawasaki Quick Shifter (KQS) (upshift & downshift), Kawasaki Corner Management Function (KCMF)","43mm inverted Showa Balance Free Fork (BFF), adjustable stepless rebound and compression damping, spring preload adjustability/4.7 in","Horizontal back-link with Showa Balance Free Rear Cushion (BFRC) lite shock, stepless, dual-range (low-/high-speed) compression damping, stepless rebound damping, fully adjustable spring preload/4.5 in",120/70 ZR17,190/55 ZR17,"Brembo dual semi-floating 330mm discs with dual radial mounted monobloc 4-piston calipers, Kawasaki Intelligent anti-lock Brake System (KIBS) (ABS only)","Single 220mm disc with aluminum single-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS) (ABS only)",Aluminum perimeter,25.0°/4.1 in,82.1 in,29.5 in,46.7 in,5.3 in,32.9 in,,"456.4 lb* (ABS), 452.0 lb* (non-ABS)",4.5 gal,57.1 in,"4.3"" Full-Color TFT Instrumentation, Smartphone Connectivity via RIDEOLOGY THE APP",Metallic Flat Spark Black/Ebony
Kawasaki,ninja,supersport,ninja-zx-10r,2025,ninja-zx-10r-krt-edition,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",998cc,76.0 x 55.0mm,13.0:1,"196.0 hp¹ @ 11,500 rpm","83.9 lb-ft @ 11,300 rpm","DFI®, 47mm throttle bodies",TCBI with electronic advance,6-speed,Sealed chain,"Öhlins Electronic Steering Damper, Electronic Cruise Control, Kawasaki Launch Control Mode (KLCM), Kawasaki Intelligent anti-lock Brake System (KIBS) (ABS only), Sport-Kawasaki TRaction Control (S-KTRC), Kawasaki Engine Braking Control, Kawasaki Quick Shifter (KQS) (upshift & downshift), Kawasaki Corner Management Function (KCMF)","43mm inverted Showa Balance Free Fork (BFF), adjustable stepless rebound and compression damping, spring preload adjustability/4.7 in","Horizontal back-link with Showa Balance Free Rear Cushion (BFRC) lite shock, stepless, dual-range (low-/high-speed) compression damping, stepless rebound damping, fully adjustable spring preload/4.5 in",120/70 ZR17,190/55 ZR17,"Brembo dual semi-floating 330mm discs with dual radial mounted monobloc 4-piston calipers, Kawasaki Intelligent anti-lock Brake System (KIBS) (ABS only)","Single 220mm disc with aluminum single-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS) (ABS only)",Aluminum perimeter,25.0°/4.1 in,82.1 in,29.5 in,46.7 in,5.3 in,32.9 in,,"456.4 lb* (ABS), 452.0 lb* (non-ABS)",4.5 gal,57.1 in,"4.3"" Full-Color TFT Instrumentation, Smartphone Connectivity via RIDEOLOGY THE APP",Lime Green/Ebony/Pearl Blizzard White
Kawasaki,ninja,supersport,ninja-zx-10r,2025,ninja-zx-10rr-abs,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",998cc,76.0 x 55.0mm,13.0:1,"188.0 hp¹ @ 11,500 rpm","81.7 lb-ft @ 11,500 rpm","DFI®, 47mm throttle bodies and Variable Air Intake System (VAI)",TCBI with digital advance,"6-speed, return shift",Sealed chain,"Öhlins Electronic Steering Damper, Kawasaki Launch Control Mode (KLCM), Kawasaki Intelligent anti-lock Brake System (KIBS), Sport-Kawasaki TRaction Control (S-KTRC), Kawasaki Engine Braking Control, Kawasaki Quick Shifter (KQS) (upshift & downshift), Kawasaki Corner Management Function (KCMF), Power Modes (Full/Mid/Low)","43mm inverted Showa Balance Free Fork (BFF), adjustable stepless rebound and compression damping, spring preload adjustability/4.7 in","Horizontal back-link with Showa Balance Free Rear Cushion (BFRC) lite shock, stepless, dual-range (low-/high-speed) compression damping, stepless rebound damping, fully adjustable spring preload/4.5 in",120/70 ZR17,190/55 ZR17,"Brembo dual semi-floating 330mm discs with dual radial mounted monobloc 4-piston calipers, Kawasaki Intelligent anti-lock Brake System (KIBS)","Single 220mm disc with aluminum single-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS)",Aluminum perimeter,25.0°/4.1 in,82.1 in,29.5 in,46.7 in,5.3 in,32.9 in,,456.4 lb*,4.5 gal,57.1 in,"4.3"" Full-Color TFT Instrumentation, Smartphone Connectivity via RIDEOLOGY THE APP",Metallic Matte Graphenesteel Gray
Kawasaki,ninja,supersport,ninja-zx-10r,2024,ninja-zx-10r-40th-Anniversary-Edition-ABS,"4-stroke, In-Line Four, DOHC, 16-valve, liquid-cooled",998cc,76.0 x 55.0mm,13.0:1,,,DFI® with 47mm throttle bodies,TCBI with Digital Advance,"6-speed, return shift",Sealed chain,"Öhlins Electronic Steering Damper, Electronic Cruise Control, Power Modes, Kawasaki Launch Control Mode (KLCM), Kawasaki Intelligent anti-lock Brake System (KIBS), Sport-Kawasaki TRaction Control (S-KTRC), Kawasaki Engine Braking Control, Kawasaki Quick Shifter (KQS) (upshift & downshift), Kawasaki Corner Management Function (KCMF)","43mm inverted Balance Free Fork, adjustable stepless rebound and compression damping, spring preload adjustability/4.7 in","Horizontal back-link with Balance Free gas-charged shock, adjustable compression damping, adjustable rebound damping, stepless adjustable spring preload/4.5 in",120/70 ZR17,190/55 ZR17,"Brembo dual semi-floating 330mm discs with dual radial mounted monobloc 4-piston calipers, Kawasaki Intelligent anti-lock Brake System (KIBS)","Single 220mm disc with aluminum single-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS)",Aluminum perimeter,25.0°/4.1 in,82.1 in,29.5 in,46.7 in,5.3 in,32.9 in,,456.4 lb*,4.5 gal,57.1 in,"4.3"" Full-Color TFT Instrumentation, Smartphone Connectivity via RIDEOLOGY THE APP",Lime Green/Pearl Crystal White/Blue
